term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value,p.adj
TTRSubsetSex,6,552.231039113845,570.83023768079,-270.115519556923,540.231039113845,NA,NA,NA,NA
TTRSubsetDV,7,553.633319675158,575.332384669928,-269.816659837579,539.633319675158,0.597719438686795,1,0.439449488835604,1
TTRSubsetIntegument,6,551.901744057683,570.500942624628,-269.950872028841,539.901744057683,NA,NA,NA,NA
TTRSubsetDV,7,553.633319675158,575.332384669928,-269.816659837579,539.633319675158,0.268424382524245,1,0.604390673316132,1
TTRSubsetCW,6,551.813978720905,570.41317728785,-269.906989360452,539.813978720905,NA,NA,NA,NA
TTRSubsetDV,7,553.633319675158,575.332384669928,-269.816659837579,539.633319675158,0.180659045746211,1,0.670807477781812,1
TTRSubsetWeight,6,553.294320211269,571.893518778214,-270.647160105635,541.294320211269,NA,NA,NA,NA
TTRSubsetDV,7,553.633319675158,575.332384669928,-269.816659837579,539.633319675158,1.66100053611092,1,0.197468287623613,1
TTRSubsetTreatment,4,449.980566604409,462.380032315706,-220.990283302205,441.980566604409,NA,NA,NA,NA
TTRSubsetEV,6,376.67956736516,395.278765932106,-182.33978368258,364.67956736516,77.3009992392488,2,1.63795245912155e-17,1.31036196729724e-16
TTRSubsetTimepoint,4,519.056005044019,531.455470755315,-255.528002522009,511.056005044019,NA,NA,NA,NA
TTRSubsetEV,6,376.67956736516,395.278765932106,-182.33978368258,364.67956736516,146.376437678858,2,1.63968497731227e-32,1.31174798184982e-31
TTRSubsetInteraction,5,409.618942999131,425.118275138252,-199.809471499566,399.618942999131,NA,NA,NA,NA
TTRSubsetEV,6,376.67956736516,395.278765932106,-182.33978368258,364.67956736516,34.9393756339709,1,3.40132288884621e-09,2.72105831107696e-08
TTRSubsetEV,6,376.67956736516,395.278765932106,-182.33978368258,364.67956736516,NA,NA,NA,NA
TTRSubsetfullGenotype,7,378.58907210822,400.288137102989,-182.29453605411,364.58907210822,0.0904952569404145,1,0.763548480683698,1
